,Incident Description,Record Classification
677,"A member of canteen staff wanted to take knife which was stored in a box (along with other kitchen equipment). While pulling the box from its storage, the box was pulled too far and dropped to the floor. A knife ?jumped? out and in a reflex the employee g",Level2
678,"While cutting a transport banding strap with a knife, the knife slipped and stabbed the operator in the arm. He held the strap with his left hand and the knife with the right hand. The cutting direction was towards his body. 
",Level2
679,A compounding plant premix technician received a laceration to the forehead requiring sutures when they slipped while carrying a wooden pallet walking backwards a short distance.,Level2
680,"An operator received a mild burn to his face and was prescribed antibiotics to prevent infection.  The burn occurred when the operator was taking a sample during a reactor start-up. When the operator was closing the sampling valve, it appears that a stati",Level2
681,"An Employee was pushing a roll-around bin to the elevator through a tight area, when he smashed his left ring finger between the bin and another bin that was in the area.ÿ A follow-up x-ray on 7/2/13 noted a small fracture to his left ring finger. Medicat",Level2
682,"An extruder operator, working for PEPSA, received a fingertip laceration requiring sutures while utilizing a forklift to help release a super bag from its base.  During the process, the base holder suddenly released tension and trapped the operators hand ",Level2
683,A railroad construction contract employee fractured their right index finger when a cross tie rolled on top of the one he was handling.  This occurred while they were loading cross ties from a new bundle onto the front bucket of a backhoe. ,Level2
684,A contractor (SIMEC) was dismantling a transmission joint from a compressor of the chilling unit. The finger was pinched between the transmission joint and the pipe. Following  x-ray highlighted a small fracture of the last phalanx of the third finger. Th,Level2
685,During the PP2 extruder start-up operation an operator was moving to the other side of the machine to close the cutting unit when they slipped and fell down due to some PP pellets on the wet floor. The operator used the left hand to try to break the fall ,Level2
686,"An employee received a fractured index finger and two lacerations on his hand that required sutures.  Employee had disconnected a 10? section of 6? piping using hand tools, chain fall, and nylon slings.  As the employee was attempting to lay the piping do",Level2
687,"While accessing an area for blinding a pipe, a piping and fitting contractor (ADF) came in contact with hot piping and received second degree burns to the thigh area requiring medical treatment and restricted work. ",Level2
688,"Operator rolled his left ankle when he was dismounting his forklift.  Flat, concrete surface below: no water or pellets around the area.  X-rays revealed no broken bones.  Operator was given a prescription for pain, and a walking boot.  Referred to Orthop",Level2
689,"A subcontractor employee doing on-site grit blasting was trouble-shooting some equipment. The subcontractor employee disconnected a  2? air hose connection which was under pressure. Upon releasing the connector, the hose whipped around hitting his upper a",Level2
690,"A contractor employee suffered a fractured toe while cleaning a room in the R&D lab area.  While dusting off a fire extinguisher, the bracket came loose from the wall and the extinguisher fell and landed on the contractor's foot. ",Level2
691,"Contractor was holding plastic tarp while his partner was wire-tying the plastic tarp to a scaffold pole to be used for a vapor barrier on the blast pad.  While cutting the wire, the worker quickly moved the pliers at the same time that his co-worker plac",Level2
692,"Operator received hot condensate burn to forearm requiring medical treatment when condensate ""burped"" from an open ended vertical pipe. Line was out of service and opened to atmosphere for several days prior to this incident. The line was isolated with no",Level2
693,"During high pressure water cleaning of C164A exchanger tubes, the flex lance nozzle failed resulting in kickback.  The flex lance hose struck the water cleaning operator resulting in medical treatment.  The anti-withdraw device failed to prevent the flex ",Level2
694,A contractor received a cut to the finger when they were attempting to loosen a bolt on a beam and grabbed a sharp edge.  ,Level2
695,While grit blasting a small section of ?90 degree? piping a contract worker reached to reposition the pipe.  The worker failed to allow the hose to fully depressure and placed his hand in the line of fire.  The partially charged stream of blast media cont,Level2
696,"An Austin contract employee lost their footing while tightening a 4? flange from a tee.  This caused them to slip and make contact with a 2"" quick-connect fitting.  The contract employee received a laceration to the upper and lower lip which required 6 su",Level2
697,A contractor injured their hand while doing refractory work on the inlet line of a transfer line exchange.  A block of precast refractory fell on their and resulted in fractured fingers.,Level2
698,"IQS contractor employee was walking on a path of large gravel with a slight downward slope.  As the employee stepped on the downward grade, they lost their footing, slipped and twisted their ankle.  They were evaluated and diagnosed with an ankle fracture",Level2
699,"An operator reached over the top of a fin fan channel head, the head dislodged and fell, striking the operator on his arm, leg and foot.  Follow up evaluation and a resulting MRI revealed that the operator suffered a fracture in his knee.  As a result, th",Level2
700,"An employee was attempting to remove a threaded flange from a vertical pump base.  Two studs were inserted into the flange to utilize a pry bar.  As the employee pulled on the pry bar, the pump assembly rolled on the stand and the pry bar struck him above",Level2
701,"During a required medical examination for an emergency response team (ERT) member, the employee lost consciousness when they received a needle stick in preparation for blood draw.  After evaluation by site medical, the employee was sent offsite for furthe",Level2
702,"A contract employee was driving between the CVO-North and CVO-South plants when on oncoming truck started to hydroplane and crossed over into the contractors lane.  The truck struck their car, pushing the vehicle off the road into a ditch. The contract em",Level2
703,An operator was on his normal inspection tour and while looking up at the storage tank stumbled on a concrete  block ,Level2
704,"An operator fractured a finger while they were attempting to open a 36"" valve with a valve wrench.  The operator's finger was caught between a valve wrench and another valve handwheel.  ",Level2
705,"A contractor for TEAM Industrial Services was disassembling a steam valve.  While striking a bolt and nut with a 20-pound sledge hammer, to loosen the bolt, the hammer missed the nut.  The force downward brought the index finger in contact with the valve ",Level2
706,"An operator?s hand was pinched between a screw on a rotating arm and a pipe, requiring 3 sutures.  The operator noticed that the arm was ripping and decided to clean the track with a towel without locking the energy of the rotating equipment. He was then ",Level2
707,A contract maintenance worker received first and second degree burns to their legs while removing a blind flange for maintenance work being performed on the quench oil coke removal system.,Level2
708,"A Bay Ltd. contractor was in the process of using a jack to raise the floating roof inside tank 17. In the process of raising the floating roof, a board struck the employee on the cheek.  The contractor was taken to a medical clinic where they received su",Level2
709,A Bilfinger contractor received an eye injury when some caustic material was inadvertently sprayed into their eye.  The material had been leaking from a valve and had come into contact with the contractor's tools including a drill the contractor was using,Level2
710,"An SGS switchman was in the process of switching railcars. As the switchman was dismounting the railcar to throw a switch, his right foot slipped from the lower stirrup, causing the switchman to lose his footing and fall. As he was falling, he caught hims",Level2
711,Two operators fell over each other and resulted in a fractured foot to one of the operators.  ,Level2
712,An analyzer technician tripped over a unit entry barricade chain as he walked to an analyzer building.  The technician fell to the ground and landed on his shoulder and was evaluated at an offsite medical center.  He was prescribed medication and referred,Level2
713,While trying to upright a portable steam heater an employee received a laceration to their thumb requiring two sutures.  Two employees were attempting to upright a heater blown over due to severe winds when a sudden gust resulted in the employees losing c,Level2
714,An Austin employee was injured in a fall from a flatbed trailer while he was assisting in the preparation to remove a heat exchanger bundle puller from a flatbed trailer.,Level2
715,"Three operators were utilizing a fire water hose to flush out some polypropylene powder and the pressure suddenly increased, causing the operators to lose control of the hose, and although the technician at the hydrant quickly closed the valve, the hose h",Level2
716,An operator from Utilities Group twisted his ankle while he was performing his normal round.  The weather condition was light rain. X-rays did not reveal any ankle ligament extension. He was prescribed 4 days off the job by an external doctor requiring no,Level2
717,"An operator walked (inside) through a winterizing set-up to do his control walk. They touched one of the low horizontal beams, and fell, striking their face against another beam.  Their lip and teeth were injured.  The operator received a stitch on the in",Level2
718,"An operator was in the process of unloading an 25kg drum and in the process of lowering the drum, the operator twisted his torso and bent over.  As the Operator stood upright he experienced pain in his lower back. The Operator reported the injury & sought",Level2
719,"During a weekly test of a fire pump, the pump failed to start.  A work request was written for maintenance to troubleshoot the pump. As the mechanic, (Austin Contractor),  was preparing to check the voltage on the batteries one of the batteries exploded s",Level2
720,"A Compounding Plant technician was moving a 2.5 meter platform steel ladder and slipped on some pellets on the floor and fell.  His middle finger was trapped by the falling ladder, severing it.",Level2
721,A technician was getting off a fork truck when he stepped in a crack in the floor and felt a sharp pain in his ankle.  He walked about 10 feet further and lost consciousness.  He was evaluated onsite and was taken home to ice his ankle and follow-up with ,Level2
722,A lab technician suffered a compression fracture and laceration to the top of his left middle finger while separating the bottom of a stainless steel 4 liter polymerization reactor from the top manifold section.,Level2
723,A Brock employee tripped while sandblasting and lost control of the nozzle and received an avulsion to the kneecap from contact with the sandblasting media. The injury required surgery and a hospital stay.,Level2
724,A check valve failed while preparing the Acetic Acid unit for maintenance.  Three employees were in the immediate area and were splashed with acetic acid solution.  Two employee injuries ? one chemical burn and one inhalation exposure.,Level2
726,"A Brock Capital contractor was picking up insulation and putting it in a bag when she tripped over the lower pole on an existing scaffold and fell forward landing on left arm.  She was taken offsite for further evaluation, where they determined she has a ",Level2
727,"A railcar operator was fatally injured at our Wesseling manufacturing plant. The individual was employed by Chemion, a rail service contractor.",Level2
728,"JVI Contractor working on C2 Splitter internal trays, lost his balance when the load shifted and he fell forward, smashing his right little finger.  This injury resulted in a fractured finger and required stitches to close the wound.",Level2
729,"Turner forklift operator was loading an Argon bottle onto the forklift rack for transport to the field, while attempting to maneuver the bottle his right index finger was smashed between the bottle handle and the forklift load frame.  This injury resulted",Level2
730,"An Austin contractor was in the process of coupling railcars when the contractor?s leg was caught between the couplers of two railcars.  The contractor?s left leg was severely injured requiring amputation below the knee.
",Level2
731,"A Pala contractor was injured while using a 1 1/2 ton come-a-long to position two pontoons together during some work on the external floating roof of Tank 893, the weld on the lower lug failed, which resulted in the attached hook recoiling and striking th",Level2
732,An operator slipped on the catwalk falling backward and hitting a valve stem handle while verifying valve line-ups on top of a process water drum.  The employee was diagnosed with two cracked ribs.  The employee was properly tied-off with a harness and la,Level2
733,A Petrochem employee lost his balance and fell when exiting the dark room of an X-Ray truck.  He lost consciousness as a result of the fall and was transported offsite for further evaluation.  Prescription medication was provided.  ,Level2
734,"An employee was cutting a plastic strap (transport securing device) with a safety knife. He was using the sharp blade (spring operated), instead of the ""swan neck"" as described in the procedure. He suffered a cut in his left pointing finger. The cut even ",Level2
735,During night shift a minor leak in a DN 40 caustic line was identified. The insolation had to be removed in order to localize a leak. The pipe section was isolated in preparation of the work. The worker (company BIS) has worn the required PPE. Later he ex,Level2
736,"An Operator hit his leg at a valve handle of a movable metal vessel while he tried to close the valve with his right foot. The valve was hard to move and the force of his hand was not enough. Hence, he decided to kick with his foot against the valve handl",Level2
737,An operator received a chemical burn to his knee while working on a pump in the Polyols Tank Farm area.  The operator knelt down with his knee touching the ground and came into contact with 45% caustic solution. It was determined the employee had a 3rd de,Level2
738,A Structural Iron Worker working on the Olefins expansion project sustained injury to his right index finger when it was pinched between two pieces of structural steel as he was attempting to make a structural connection on the OP-2 Furnace.  Sutures were,Level2
739,"A Babcock contractor employee suffered a laceration on the back of the head and on the nose which required sutures.  While refitting a shaft on the Kraton extruder, the inspection hatch unintentionally closed, hitting the back of the contractor's head.  ",Level2
740,An operator received a cut to the ear while in the process of making a flex hose connection. After making the connection the operator turned his head to move away from the connection and his ear come in contact with a sharp edged lid.,Level2
741,"During the reinstallation of a side panel on some cabling connections, a technician cut his finger when the panel slipped.  The laceration required sutures.",Level2
742,"a Polypropylene Compounding employee fell after contact with another employee while in the control room The employee struck his head on the floor, resulting in loss of consciousness.  The employee was transported to the hospital and diagnosed with a bone ",Level2
743,"A contractor loader (Austin) was in the process of connecting a line to a sulfuric acid railcar to be loaded with spent acid. When the loader struck the hammer connection to secure the load line, the 2? coupler on the railcar failed. This allowed acid to ",Level2
744,A LyondellBasell operator began experiencing severe cramps and showing signs of heat stress.  Medical responders were called and began treating the employee. The employee was transported to the hospital where further treatment was given,Level2
745,"A Cuff?s Industrial, LLC (environmental division) contractor was in the process of setting up a tank decontamination centrifuge stand when the side legs became dislodged and fell to grade catching the contractor?s hand in a pinch point created by two of t",Level2
746,"While hydro-blasting a preheater bundle, the flex lance was ejected from the exchanger tube and struck the contractor in the abdomen resulting in a laceration.",Level2
747,"An Employee exiting a Control Room building caught his hand in the door jamb of a blast proof door, requiring 5 stitches.",Level2
748,"While using a forklift to move a filled jumbo bag, An operator's finger was caught between the fork and part of the packing machine which resulted in several sutures to close the wound.  Two operators were helping unload product from a silo due to quality",Level2
749,Electricians were working in a substation verifying available load capacity. During this process metal screws holding the switch mechanism were removed to allow access to the switch load rating information.ÿ While reinstalling the mounting screws the elec,Level2
750,An operator in the POSM 1 unit was reaching down to pick up a steam hose that was connected to a steam manifold. He inadvertently hit a straight handled ¬ turn valve that was on the steam manifold releasing hot condensate. The employee received leg burns ,Level2
751,A craftsman used a grinder to remove the soft residuals of an elastic joint seal between two concrete panels. He knelt on the concrete panel with both knees. While he was removing the soft residuals the grinder slipped out of the joint. The still rotating,Level2
752,A plant operator received chemical burns to back of the neck while preparing antioxidant in drums.  A stationary funnel which gravity feeds the preparation vessel opened to air after flare degassing.   When he noticed the product was not coming down as it,Level2
753,An Austin employee was struck by a pencil grinder in the face while working in OPII.  The employee had released the hand switch and was removing the grinder from the bleed hole.  The grinder tip was still rotating when the tip caught the edge of the hole.,Level2
754,"A maintenance technician fractured two fingers while replacing a gasket on a leaking flange.  During this activity, the technician's hand was inside a valve which closed and trapped his fingers.  The technician was transported to the hospital where surger",Level2
755,"A contractor, (S&B), was drilling a hole into a 12? piece of pipe when the bit caught, twisting the drill counter-clock wise.  The employee?s finger was caught and twisted resulting in a spiral fracture.",Level2
756,A contract security guard was stepping into a pickup truck when her foot slipped off the bottom door frame.  This resulted in an injury to the ankle and foot as it contacted the ground.  The worker was assessed by site EMS personnel and was seen by off-si,Level2
757,"A subcontractor was using a hedge trimmer lost his balance by stepping into a hole.  His left hand came into contact with the moving blades and the tip of  his finger was cut which required sutures.  
",Level2
758,"A production operator was cleaning the bottom of packing silo of line E by compressed air. During this activity, while his hand was in the valve, the valve closed.  The tip of his index finger was trapped and cut by a butterfly valve. He was taken to hosp",Level2
759,"A grinder contacted the hand of a turnaround contract worker with Azilut resulting in a laceration which required sutures.  The injury occurred while he was cutting a 1-1/2"" vertical pipe with a grinder.  The worker was wearing leather gloves on both hand",Level2
760,"A Brand employee was tied off within the lower level of a pipe rack passing scaffold material through the rack.  Employee slipped and struck his chin on the piping, resulting in a laceration.  Employee was taken to the on-site medical clinic and subsequen",Level2
761,"A contractor with JV Industrial was using a drill when the bit jammed in the material causing the tool to twist out of the workers hand, striking his finger.  This resulted in a fractured finger. ",Level2
762,A contract worker with Mourik was working on the C4 expansion project and cut his index finger (through his gloves) with a grinder.  The laceration required two sutures to close. ,Level2
763,"A Dresser-Rand technician was injured while removing a hydraulic nut from a drive rod stud on the LD Line 4 Hyper Compressor.  During removal, the Technician?s finger was pinched between the 23 lbs. nut and the inside of the yoke.  The technician was wear",Level2
764,"A contract electrician cut his hand while pulling electrical wiring into a new motor control center section.  During the downward pulling motion, the electrician?s hand was pushed against the metal edge of the motor control center.  The metal edge cut thr",Level2
765,A contract worker was pulling a cable when he cut a finger on a sharp edge of the cable tray.  The wound required sutures to close. The edge of the cable tray cut through the gloves he was wearing. ,Level2
766,"A KBR contractor pipe fitter working in OPII on the Olefins Expansion Project, was using an auto-retracting utility knife to cut a rubber air hose when the utility knife slipped and cut through the leather glove into the palm of the left hand, causing a l",Level2
767,An operator fractured their arm while inspecting a PGI trailer and fell approximately six to eight feet from the ladder attached to the side of the trailer.,Level2
768,A contractor worker bent down to pick up a dropped cable tie. While standing up up his forehead came into contact with a console and he suffered a cut above his eyebrow. The injury was treated with stiches,Level2
769,"A Global Projects employee tripped and fell while exiting the ambulance bay area of the CVON HSE building, resulting in a laceration to the upper lip. The employee also received abrasions to the wrist, and knee.  The employee was taken to a local medical ",Level2
770,The tip of a Brand contract worker's index finger was fractured and required sutures when another contract worker was attempting a fake gesture of striking the hand with a hammer.  He accidentally struck the hand with the hammer resulting in the injury.  ,Level2
771,"An Ameritek manager was walking from his car to the trailers to pick up some paperwork, he crossed an area covered with white rocks/gravel and he fell down in the white rock/gravel area and lacerated his knee.  The wound to his knee required 9 sutures to ",Level2
772,"While preparing for a start-up of the extruder, an operator walked in the area under the feed chute which was diverted to the floor for purging and was struck by a piece of solidified polymer exiting the feed chute.  The employee was diagnosed with a frac",Level2
773,An employee slipped on ice and fractured his ankle and will require surgery.  During freezing conditions the employee identified an icy patch on the ground in the plant and decided to spread salt.  Unfortunately he slipped on the ice and fell. ,Level2
774,A technician was installing a 2? plug into a bleed when a foreign particle became lodged in his eye requiring medical assistance to remove. The physician applied a prescription antibiotic at the time of the visit. ,Level2
775,While turning a 10? gate valve an operator experienced a ?pop? in their right shoulder and felt pain with movement.  The worker was attended by an onsite EMT and transferred to the hospital where they received prescription anti-inflammatory medication.  F,Level2
776,"A production operator was re-stacking bags to new pallets.  Suddenly he got a sharp pain at his lower waist while he was lifting a bag from the ground.  After being evaluated at a hospital, he was prescribed pain medication.",Level2
777,"During loading operations of intermediate bulk containers, an operator in the handling area started to move the electrical transpallet, and positioned his left foot in such a way that when he set the transpallet in motion, his foot got stuck under the tra",Level2
778,A contract maintenance millwright sustained a Fracture / Laceration injury to the middle finger on his left hand while attempting to install a pump.  The injury occurred when the injured craftsman attempted to maneuver the pump without additional rigging ,Level2
779,"While torqueing a flange on the inlet pigtails of F-7001, the quick connect fitting that threads onto the J Gun (impact style torque gun) had loosened up due to twisting of gun during use.  The fitting along with the air hose dislodged from the gun, whipp",Level2
780,A contractor (Cascione) working at P23 unit (additive handling section) fell down the stairs and hit his head.  He was released from Hospital late at night with a prognosis of brain concussion.  ,Level2
781,A Brand scaffold builder fractured their wrist when they stumbled and fell over some 2x4 boards that were stacked behind them.  The worker was assisting on a scaffold being built in POSM II 800 area. ,Level2
782,"A shift operator was carrying out routine cleaning work under a steel platform (1,5 m high). To gain access he had to bend forward and his hard hat fell to the floor. After picking up his helmet from under the platform, he backed up and was trying to stan",Level2
783,An employee was cutting plastic specimen with a band saw. During the activity he suddenly had to sneeze. As the ?sneeze-attack? came very suddenly he contacted the band-saw with his right hand. As a result he suffered a cut which had to be closed with 5 s,Level2
784,"An operator was riding his bicycle on an onsite road. To get to his destination he had to turn right and cross railway tracks, set across the road. Doing so the bike slipped and the operator fell. The incident occurred at night during a rain shower.",Level2
785,A Catalloy operator was loading additives out of a super sack.  Operator?s use a pneumatic assist lifting device (jack) to load super sacks of additives.  He had completed unloading of the additives and was repositioning the device when he reached down wi,Level2
786,"While working on part of the Kraton turnaround project, a contract fitter's finger was pinched between a 2"" pipe and the pipe rack steel structure while maneuvering a 12 meter section of 2"" pipe. He went to the hospital for an X ray check and got stiches ",Level2
787,"After performing maintenance work on a fire water system, a Cegelec employee left the site in his van. He came to a road barrier (beam) which was in horizontal (closed) position. He left his van (without safety helmet) and put the barrier in a vertical po",Level2
788,During cleaning activities a contactor employee (MUL) in site logistic operations cut his middle finger.  Surgery treatment was necessary. There was no hospitalization and the employee returned to work. ,Level2
789,"During a training exercise, employee was tightening bolts for wastewater decanter filter with a wrench.  The wrench slipped, creating a line of fire incident striking the employee near the mouth, causing a laceration. The injury required medical treatment",Level2
790,A LyondellBasell employee received a small laceration to the palm of his right hand while wearing gloves.  He was removing a bolt from a flange when his right hand came in contact with a metal insulation tag.  Prescription medication was provided and he r,Level2
791,"During the process of removing melted polymer that was blocking the pelletizer cutting chamber, a production operator cut his right hand index finger while removing the cutter hub.  During this process, his finger came into contact with the cutter blade a",Level2
792,"A LYB loading operator was attacked by a sea-gull nesting in the loading area. Trying to avoid the attack, the operator fell and injured his hand. During investigation in hospital it showed he suffered a finger phalanx fracture.  Sea-gulls are a protected",Level2
793,"During a cable pull for new installation, the cable came out of the cable tray. The contract employee picked up a 10 foot long piece of rigid conduit weighing 15 pounds and pushed the cable back into the cable tray. Upon lowering the conduit piece, the co",Level2
794,"During the removal and cleaning of magnetic separator trays, a contractor (Railserve) in site logistics operations pinched his hands between two magnetic trays, when they came  in contact with each other.  The contractor was transported to the hospital fo",Level2
795,"An Austin employee was ascending a portable staircase and missed the second step. She fell to the floor, injuring her wrist. Pain medication was prescribed and a CT scan confirmed a fractured wrist. ",Level2
796,a LyondellBasell Operations Technician began experiencing severe symptoms of heat stress while performing his job during a JLX extrusion shutdown.  Onsite first aid was  administered.  The Operator was then transported to a local hospital emergency room w,Level2
797,"A Coker operator was closing the door to the 737 D Drum Top Unheading Device Drill Stem Enclosure.  The door swing met resistance.  The operator utilized additional force to get better leverage on the door.  When the door freed from the resistance, it clo",Level2
798,"A contractor worker was using a battery drill/hole saw to cut roof top entry/access for small diameter piping. While near completion of drilling a hole, the hole saw bound and pulled the drill downward. This sudden downward movement resulted in the contra",Level2
799,"A KBR pipe fitter, working in OPI on the Olefins Expansion Project, was using a portable band saw on a work bench to cut a shim for a spring can, when his glove got caught in the saw blade, pulling his thumb into the saw, and severed the tip of his thumb.",Level2
800,While descending a scaffold down from E6118A/B an Evergreen hydro blast employee fell from the scaffold ladder approximately 10 ? 12 feet to the ground below. The injured employee was transported to the hospital where they received treatment. ,Level2
801,"A Brock employee, building scaffolding for Acetyls Pre-Turnaround,  experienced a heat related illness while working on a tower landing at an elevation of approximately 80 feet.  The employee climbed up to the tower landing and then began to feel weak.  H",Level2
802,A KBR employee pinched finger in the elevator doors servicing the OPI SCORE furnace.  The injury required sutures. ,Level2
803,"While walking in the Track 1 & 2 Railshed around 8:00 AM, employee felt a bite or sting on his left forearm from an unidentified insect.  The area around the bite/sting was red and swollen when he reported the incident to his supervisor, who applied hydro",Level2
804,While preparing equipment for maintenance an employee and supervisor were moving a portable staircase when a 2 foot length of 1? galvanized pipe fell from the staircase platform and struck the employee?s face.  The resulting laceration required sutures an,Level2
805,A lab technician had put the cover of an exsiccator on the table. The cover broke and fell from the table. He tried to catch the cover. He cut himself between thumb and forefinger. 3 stiches were required to close the wound.,Level2
806,"An employee was cleaning up at the end of the shift and fell while attempting to pick up a color bag on a cardboard insert when his foot caught on a bent up corner of the cardboard. In an attempt to break his fall, he extended his right arm out jamming hi",Level2
807,"A technician was sprayed with hot water upon breaking open the flange on a blowdown valve located in an area with restricted movement.  This resulted in the technician reacting and hitting the back of his head, dislodging his helmet on the boiler structur",Level2
808,"While unloading a silo truck the coupling of the compressed-air hose disconnected spontaneously, whipped around and struck the employee?s face causing a laceration. The wound required sutures.",Level2
809,"An employee moved an empty Mixaco bowl and squeezed his right hand between the bowl he was maneuvering and another one parked.  He suffered a laceration of the right heel of his hand which was treated in hospital with two stitches.

",Level2
810,An operations technician's swollen ankle was examined by on site medics the condition was attributed to the employee standing / walking for an extended time and advised the employee to elevate it and put ice on it when he arrived home.  They did not obser,Level2
811,"A Brand scaffold builder suffered burns to his left foot when, while assisting in the building of a scaffold, he stepped backwards onto plywood that was covering a steam trap release that had created a large puddle of hot water.  As he stepped back, the p",Level2
812,"An employee operator was moving a pallet with additives (load: 400 kg) using an Electric Pedestrian Truck (weight: 1.640 kg). While making final adjustments to the position of the pallets, the lifting device was moved a little backwards.  In doing so, her",Level2
813,"In the process of removing a scaffold, one of the crew members was struck by a scaffold pole. The pole hit the employee's safety glasses and cut him above the right eye. The employee's supervisor took him to their company physician where he received four ",Level2
814,"Employee was working on an A-frame ladder and while descending the ladder, the employee?s right foot slipped and went through the rungs, causing the employee to fall backwards. During the fall, the employee reached out their right hand to catch them self ",Level2
815,"An employee was doing a housekeeping operation.  He was cleaning the floor with water using a hose and while he was going backward, his left foot got stuck in a crack of a concrete protection slab.  His ankle has been twisted and he fell backward.",Level2
816,"Employee on top of a railcar was lowering a loading device from the catwalk to the top of the railcar and felt a slight twinge in his lower back.  He reported to his supervisor, indicating his back was little sore, but he didn?t need any treatment. He con",Level2
817,"A pair of Channellock pliers was knocked off of a scaffold ring during a scaffold modification about 20ft above grade in the OP2 unit, striking an Austin exchanger crew member in the mouth.ÿ The worker was evaluated by EMT?s, initial evaluation showed an ",Level2
818,"A contract worker was preparing a high-pressure cleaning truck and while pulling out a stairway from a stair-slot of the container floor, the stop-mechanism failed and the container-side of the stair fell to ground. Due to the stair construction the worke",Level2
819,A contractor was loading a truck with a forklift truck when the fork carriage disengaged itself. The contractor managed to get the fork carriage up again and out of the truck as well as he could put it down.  When checking what happened the fork carriage ,Level2
820,"On the Olefins Debottleneck Project, two Zachry/JV Industrial employees were moving a 6? 1500# flange in the warehouse, from a cart to a pallet that was on the ground. The flange weighed approximately 160lbs.  The leading employee was moving backward, tri",Level2
821,"While in the process of troubleshooting a paint spraying pump, a contract employee (Brand) reached underneath the pump assembly to verify the integrity of connections and check for leakage.  As he reached underneath the equipment, the tip of his left inde",Level2
822,An operator was moving a walk behind forklift backwards and backed into another walk behind forklift parked in the area pinching their foot between the two pieces of equipment and allowing the forklift they were operating to run up onto their foot.  The o,Level2
823,"A block of ice weighing between 2 to 4 pounds loosened from and overhead pipe, fell about 5 m and hit a contract worker from Peltz. This caused a shoulder joint dislocation.  The ice accumulated from extra hydrogen being vented to the flare gas system due",Level2
824,"A contract employee, (Veolia), fell at grade while walking backwards to spot a vacuum truck that was performing cleaning activities adjacent to the roadway.  The fall occurred when the contractor stepped backward onto unstable chunks of asphalt, which shi",Level2
825,"An operator had to fill an oil reservoir. Therefore he stepped on a concrete base (height ~17 cm, see picture). After having finished the task he stepped down from the concrete base. Doing so he twisted his ankle and suffered an injury of the ligaments.",Level2
826,"While assisting in the demolition of heat exchanging equipment, A contract employee, (Starcon), was struck in the lower leg by an approximately 10ft X 4ft metal panel that shifted and fell suddenly as nearby angle iron was in the process of being torch cu",Level2
827,A Low Density operator was stepping away from the top of LD 1 Reactor during routine rounds when he slipped and fell forward on the platform.  The fall resulted in a deep laceration to the employee's chin requiring staples and a fractured left arm.,Level2
828,"While performing railcar switching activities, a Savage contract technician closed the front railcar entry door.  While closing the door the contract technician?s left thumb was pinched between the door and the door frame.",Level2
829,A contract worker was in the process of changing a coil of bag-film on the bagging machine. He was inserting a shaft into the coil. His left hand was located in the area between shaft and the edge of the opening where he inserted the shaft and he lost gri,Level2
830,Coils were replaced in one of the ovens of cracker OM6 (recoiling).  During this process one weld seam at the lower bow of a coil needed to be renewed. Therefore the coil was fixed with a pull chain and two slippages to the neighboring coil. After that th,Level2
831,"A contract worker from Talke stumbled while ascending stairs. He used the hand rail with his left hand was attempting to stabalize himself, he put forth his right hand on the step. His finger got stuck in the grate and was fractured. The stairs and the ha",Level2
832,A contract worker from Prezioso was adjusting an insulation sheet around a manhole in Utilities. The sheet slipped a few centimeters and pivoted. The worker tried to grab the sheet and his hand was caught between the sheet and the top of the manhole. The ,Level2
833,A LyondellBasell Instrument Technician stepped backwards and tripped over a pallet in the CVO South Plant AEI Shop while gathering supplies for a job.  The employee fell onto a valve and suffered a broken rib as a result of the fall.  Pain medication was ,Level2
834,"During an operation of dumping a tippler bin with a forklift into a larger bin, a contract worker with ORTEC, cut his middle finger and was sent to the hospital for evaluation and treatment. A fracture of first phalanx was diagnosed and minor surgery was ",Level2
835,A Universal Plant Services contract worker suffered an OSHA Recordable injury when he got caught between a heat exchanger bundle that was being moved with a crane and the adjacent trailer of hydroblast machine.  The employee was working in between the bun,Level2
836,"A Turner crane operator was assisting a rigger loading removed pipe sections into a material (skid) pan. The crane operator and rigger were both lifting a pipe section approximately 3 feet long weighing approximately 50 pounds.  During this operation, the",Level2
837,Maintenance task was to dismantle screw elements from the extruder shaft. One of the employees was operating the crane and noticed some bigger parts of cold melt. He grabbed the melt to rip it off the screw element. Unfortunately the screw element had sha,Level2
838,An LYB operations employee was splashed with hot condensate that had built up in the vertical muffler of a 550# steam vent line.  The employee was transported to an off-site medical facility and admitted to the hospital with second degree thermal burns.,Level2
839,"A contract worker for Kosik was carrying a large pipe with a colleague (500 mm in diameter, 600 mm long and weighing 30 kg to 35 kg) and was cut above his wrist by the sharp edge when the pipe slipped.  The pipe was being carried in the workshop after it ",Level2
840,An LYB maintenance employee was in the process of tightening a drive belt on the Centrifugal Contactor. To ensure the belt is properly tightened maintenance uses an acoustical tensioning process.  While pulling the belt through the rotating pulleys to ins,Level2
841,An intern tripped while assisting an operator in the plant. The fall on the concrete floor caused a scratch on the chin and a chipped tooth. The intern was carrying an empty sample bottle (plastic). The floor was not slippery nor were there any obstacles ,Level2
842,Two contractors were removing a damaged overhead door assembly when an end bracket suddenly spun striking one of the employees in both arms.  The injured employee sustained fractures to his left hand and lacerations to his right arm and hand.,Level2
843,"An LYB employee stated he was descending a ladder when his foot slipped off a ladder rung. In the process of catching himself from falling, the employee stated his left shoulder was hyperextended. Employee was checked out by on shift EMT and transported t",Level2
